Name,Assign,Checked,Status
"As a consumer API, I want to Error management So that I show an error to a final user. ",,No,In progress
[V2] Response time performance (~50 ms),,No,In progress
[DOCS] Getting started for raw API,,Yes,Completed
[UX] Zapier,,No,To do
[DOCS] Languages implementation,,No,To do
[UX] Web component.,,No,To do
[UX] Google Form template.,,No,To do
[DOCS] Developer Reviews,,Yes,Completed
[V3] RFC response,,No,To do
[V4] NSS Response,,No,To do
Add changelog,,No,To do
"[Open Source] Becoming a Public Project ",,No,Completed
